TICKER,RECOMMENDATION,BUY,SELL,NEUTRAL
CTAS,BUY,14,4,8
ISRG,BUY,14,2,10
CHD,BUY,14,2,10
HII,BUY,14,2,10
AON,BUY,14,3,9
CB,BUY,14,3,9
WMB,BUY,14,3,9
CMG,BUY,14,2,10
BK,BUY,14,3,9
INCY,BUY,14,4,8
LYB,BUY,14,5,7
SCHW,BUY,14,2,10
VTRS,BUY,14,4,8
BX,BUY,14,3,9
CSX,BUY,14,4,8
TRGP,BUY,14,4,8
CBOE,BUY,14,5,7
WELL,BUY,14,2,10
GE,BUY,14,7,5
DIS,BUY,14,2,10
ALGN,BUY,14,2,10
ES,BUY,14,2,10
PGR,BUY,14,5,7
CDNS,BUY,14,2,10
PRU,BUY,14,3,9
TECH,BUY,14,2,10
EFX,BUY,14,3,9
DFS,BUY,14,3,9
TPR,BUY,14,4,8
AVGO,BUY,14,4,8
RVTY,BUY,14,3,9
BSX,BUY,14,2,10
SYK,BUY,14,4,8
EIX,BUY,14,3,9
D,BUY,14,2,10
DPZ,BUY,14,3,9
ABT,BUY,14,3,9
STT,BUY,14,2,10
PNR,BUY,14,3,9
TROW,BUY,14,3,9
C,BUY,14,3,9
CARR,BUY,14,3,9
AVY,BUY,14,4,8
NTRS,BUY,14,2,10
NDSN,BUY,14,2,10
ZBRA,BUY,14,2,10
FI,BUY,14,6,6
GRMN,BUY,14,6,6
OXY,BUY,14,4,8
KEY,BUY,14,3,9
CCL,BUY,14,3,9
OTIS,BUY,14,4,8
PCAR,BUY,14,7,5
GD,BUY,14,4,8
NVDA,BUY,14,4,8
TAP,BUY,13,3,10
WAB,BUY,13,4,9
MOH,BUY,13,4,9
RHI,BUY,13,3,10
MTCH,BUY,13,3,10
ALL,BUY,13,3,10
NVR,BUY,13,3,10
RL,BUY,13,5,8
PAYX,BUY,13,4,9
SYY,BUY,13,3,10
COR,BUY,13,3,10
ALB,BUY,13,4,9
PG,BUY,13,3,10
MAR,BUY,13,4,9
MCD,BUY,13,5,8
CTLT,BUY,13,3,10
LEN,BUY,13,3,10
BLK,BUY,13,3,10
CMS,BUY,13,4,9
HCA,BUY,13,4,9
GLW,BUY,13,6,7
ANET,BUY,13,3,10
EMN,BUY,13,7,6
UAL,BUY,13,4,9
KO,BUY,13,3,10
VLO,BUY,13,4,9
LLY,BUY,13,3,10
EL,BUY,13,3,10
FFIV,BUY,13,3,10
XOM,BUY,13,4,9
FICO,BUY,12,4,10
LHX,BUY,12,4,10
PPL,BUY,12,5,9
MRNA,BUY,12,5,9
ELV,BUY,12,4,10
MPWR,BUY,12,4,10
BR,BUY,12,5,9
STZ,BUY,12,4,10
TYL,BUY,12,4,10
NI,BUY,12,5,9
EW,BUY,12,4,10
WTW,BUY,12,4,10
BF.B,BUY,12,5,9
ZBH,BUY,12,4,10
DHI,BUY,12,4,10
CI,BUY,12,5,9
PSX,BUY,11,5,10
EXC,BUY,11,5,10
ALLE,BUY,11,6,9
HAS,BUY,11,6,9
CTRA,BUY,11,6,9
NOC,BUY,11,5,10
NSC,BUY,11,5,10
ENPH,BUY,11,6,9
ADP,BUY,11,5,10
DVN,BUY,11,5,10
CVS,BUY,11,5,10
MSFT,BUY,11,5,10
ADSK,BUY,11,5,10
MO,BUY,11,6,9
BMY,BUY,11,5,10
LVS,BUY,11,5,10
MRO,BUY,11,5,10
MKC,BUY,11,6,9
IPG,BUY,11,6,9
WYNN,BUY,11,5,10
BEN,BUY,10,6,10
AFL,BUY,10,7,9
SWKS,BUY,10,7,9
ILMN,BUY,10,6,10
CLX,NEUTRAL,10,7,9
A,BUY,10,7,9
RTX,BUY,10,6,10
NKE,BUY,10,7,9
TSLA,BUY,10,7,9
EOG,BUY,10,7,9
KMB,NEUTRAL,10,7,9
AEE,BUY,10,6,10
KEYS,BUY,10,7,9
HRL,NEUTRAL,10,7,9
K,BUY,10,6,10
KMI,NEUTRAL,10,7,9
NDAQ,NEUTRAL,9,8,9
NOW,NEUTRAL,9,8,9
JBHT,NEUTRAL,9,8,9
EQT,NEUTRAL,9,9,8
EVRG,NEUTRAL,9,8,9
EA,NEUTRAL,9,7,10
ROP,BUY,9,6,11
GPN,NEUTRAL,9,8,9
FLT,NEUTRAL,9,7,10
VRSK,NEUTRAL,8,9,9
BIO,NEUTRAL,8,8,10
BG,NEUTRAL,8,10,8
DD,NEUTRAL,8,10,8
PYPL,NEUTRAL,8,9,9
HES,NEUTRAL,8,8,10
HON,NEUTRAL,8,9,9
ROK,NEUTRAL,8,9,9
ROL,NEUTRAL,8,8,10
BDX,NEUTRAL,8,8,10
VZ,SELL,7,11,8
NTAP,NEUTRAL,7,9,10
BKR,SELL,7,11,8
HPQ,SELL,7,10,9
MOS,NEUTRAL,7,9,10
FDS,NEUTRAL,7,9,10
TFC,NEUTRAL,7,10,9
