Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2008-04-23,14.289897918701172,14.879529882639654,14.026297123953192,14.289897918701172,23402800,0.0,0,AWK
2008-04-24,14.373136171882049,14.567368224524179,14.088725755251053,14.435567855834961,4960900,0.0,0,AWK
2008-04-25,14.56736305763932,14.740784046420739,14.359258400340472,14.68528938293457,1956800,0.0,0,AWK
2008-04-28,14.907265806372205,14.907265806372205,14.435560575770328,14.567360877990723,709400,0.0,0,AWK
2008-04-29,14.837903551606686,14.837903551606686,14.442503797629133,14.615924835205078,859700,0.0,0,AWK
2008-04-30,14.622861466077758,14.706104144174246,14.511872110680763,14.671419143676758,893300,0.0,0,AWK
2008-05-01,14.719976477933795,15.261050565196763,14.56736644859691,15.19861888885498,2999000,0.0,0,AWK
2008-05-02,15.37204056218697,15.37204056218697,14.907272131664543,15.267988204956055,1639400,0.0,0,AWK
2008-05-05,15.573208946905677,15.573208946905677,14.955829183425541,15.19861888885498,579000,0.0,0,AWK
2008-05-06,15.122313627288925,15.163935628056349,14.82403056037398,14.948892593383789,1040200,0.0,0,AWK
2008-05-07,14.914208426002963,14.983577101906187,14.324576665471728,14.71303939819336,1240100,0.0,0,AWK
2008-05-08,14.7269163645316,14.775474050515912,14.588180307876096,14.740790367126465,888100,0.0,0,AWK
2008-05-09,14.740787624960161,15.150061363689204,14.58817759409919,15.032135009765625,550400,0.0,0,AWK
2008-05-12,15.052939026028008,15.08068569008546,14.761591776392084,14.914201736450195,1168000,0.0,0,AWK
2008-05-13,14.935018173415191,14.941955172733596,14.428627807950251,14.78934383392334,1783900,0.0,0,AWK
2008-05-14,14.227458230232582,14.900331197570315,14.227458230232582,14.775467872619629,649200,0.0,0,AWK
2008-05-15,14.879528104849337,14.886463783215916,14.63673834598906,14.678359031677246,470400,0.0,0,AWK
2008-05-16,14.865650479046394,15.018260504775988,14.636734778903293,14.997450828552246,1002400,0.0,0,AWK
2008-05-19,15.184744669768113,15.32348202032421,14.948891967681206,15.087629318237305,802900,0.0,0,AWK
2008-05-20,15.240236759535936,15.240236759535936,14.87952209086849,15.018258094787598,504100,0.0,0,AWK
2008-05-21,15.157001547933476,15.157001547933476,14.602053338667455,14.678359031677246,407100,0.0,0,AWK
2008-05-22,14.824027004435084,14.87952166904895,14.650606012129606,14.810153007507324,274600,0.0,0,AWK
2008-05-23,14.740786835919653,14.740786835919653,14.567365814320597,14.664481163024902,464200,0.0,0,AWK
2008-05-27,14.907267619505847,14.907267619505847,14.602046317328927,14.726909637451172,320300,0.0,0,AWK
2008-05-28,14.636737247210005,14.858715985013385,14.615926244379322,14.851778984069824,403800,0.0,0,AWK
2008-05-29,14.837906430339249,14.914212125068094,14.602053667629885,14.608990669250488,384600,0.0,0,AWK
2008-05-30,14.636728480391422,14.914201736450195,14.602043496448545,14.914201736450195,784300,0.0,0,AWK
2008-06-02,15.51771779804158,15.51771779804158,14.706107144197782,14.983580589294434,414900,0.0,0,AWK
2008-06-03,15.163933858533241,15.19168053270953,14.768534159065457,14.78934383392334,446000,0.0,0,AWK
2008-06-04,14.636733712953749,15.01132241177255,14.61592271514819,14.962764739990234,850300,0.0,0,AWK
2008-06-05,14.9072783704839,15.184751880257133,14.9072783704839,15.122320175170898,567400,0.0,0,AWK
2008-06-06,15.087631707383382,15.434473815599091,15.087631707383382,15.330421447753906,1588900,0.0,0,AWK
2008-06-09,15.469154440147376,15.531586113136187,15.330418418136869,15.489965438842773,377700,0.0,0,AWK
2008-06-10,15.33735280835811,15.434468139552973,15.150057821256173,15.156994819641113,594000,0.0,0,AWK
2008-06-11,15.06681630188748,15.559332639645923,14.706101620302107,15.059879302978516,692300,0.0,0,AWK
2008-06-12,15.33735280835811,15.33735280835811,14.893394173401981,15.156994819641113,394400,0.0,0,AWK
2008-06-13,15.358169393339686,15.538527463238337,15.05988494401106,15.531590461730957,460500,0.0,0,AWK
2008-06-16,15.587082806155584,15.954735892159599,15.427535764777401,15.781314849853516,783000,0.0,0,AWK
2008-06-17,15.78130935779128,16.30850930170233,15.469151061035692,16.079593658447266,1194300,0.0,0,AWK
2008-06-18,15.954732053952798,16.08653238486572,15.545458386721013,15.9824800491333,723300,0.0,0,AWK
2008-06-19,16.01716580695217,16.01716580695217,15.746629434179171,15.87842845916748,683500,0.0,0,AWK
2008-06-20,15.74662727122869,16.09346926995093,15.524647280644785,15.954731941223145,1330300,0.0,0,AWK
