Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
1979-05-15,1.9469168186187742,1.9732264736355638,1.9206071636019848,1.9469168186187744,22349,0.0,1.3333333333333333,APA
1979-05-16,1.9600711956970553,2.091619570960597,1.9600711956970553,2.0784647464752197,66008,0.0,0.0,APA
1979-05-17,2.078463883377855,2.10477352142334,2.078463883377855,2.10477352142334,57692,0.0,0.0,APA
1979-05-18,2.104773856600728,2.1837027833063196,2.104773856600728,2.1705479621887207,119023,0.0,0.0,APA
1979-05-21,2.170549037100576,2.2231683476294095,2.1442393818361585,2.2100133895874023,106549,0.0,0.0,APA
1979-05-22,2.2100120484004417,2.2626313269962868,2.2100120484004417,2.2363216876983643,127339,0.0,0.0,APA
1979-05-23,2.23632193736698,2.23632193736698,2.1705479621887207,2.1705479621887207,85759,0.0,0.0,APA
1979-05-24,2.1705488401173447,2.183703666555717,2.1179295343638564,2.1442391872406006,80561,0.0,0.0,APA
1979-05-25,2.1442383199535238,2.1837027833063196,2.1179286777183264,2.1705479621887207,63410,0.0,0.0,APA
1979-05-29,2.170547982204031,2.288941242944426,2.170547982204031,2.249476909637451,123181,0.0,0.0,APA
1979-05-30,2.288941198613832,2.394179766486873,2.288941198613832,2.3810250759124756,113825,0.0,0.0,APA
1979-05-31,2.367870569229126,2.367870569229126,2.3284062292746586,2.367870569229126,80561,0.0,0.0,APA
1979-06-01,2.367870569229126,2.394180216138609,2.367870569229126,2.367870569229126,103430,0.0,0.0,APA
1979-06-04,2.367869096453298,2.433643303226283,2.367869096453298,2.4204883575439453,71206,0.0,0.0,APA
1979-06-05,2.4336439885695054,2.5388830620260854,2.4336439885695054,2.4994187355041504,136175,0.0,0.0,APA
1979-06-06,2.5257297327284434,2.6046586890688697,2.5257297327284434,2.552039384841919,148129,0.0,0.0,APA
1979-06-07,2.5520374404164,2.5915017581085307,2.5388824939727783,2.5388824939727783,141892,0.0,0.0,APA
1979-06-08,2.5388843237280225,2.5783489306813725,2.4731103265651804,2.5125746726989746,53534,0.0,0.0,APA
1979-06-11,2.5125756488586686,2.538885310109272,2.4731112873925922,2.525730609893799,48857,0.0,0.0,APA
1979-06-12,2.525729628623276,2.5388843237280225,2.4994199775942283,2.5125746726989746,48337,0.0,0.0,APA
1979-06-13,2.512574286181006,2.5257292400816356,2.420489869696112,2.4467995166778564,75884,0.0,0.0,APA
1979-06-14,2.4467995166778564,2.4862646391992613,2.394180222714368,2.4467995166778564,58732,0.0,0.0,APA
1979-06-15,2.4731112873925922,2.565194971359875,2.4731112873925922,2.525730609893799,107069,0.0,0.0,APA
1979-06-18,2.5257283734585823,2.5257283734585823,2.4731090975497185,2.4994187355041504,34823,0.0,0.0,APA
1979-06-19,2.4994209486431953,2.525730609893799,2.4731112873925922,2.525730609893799,113825,0.0,0.0,APA
1979-06-20,2.525727808348524,2.5651921260406545,2.525727808348524,2.5388824939727783,152287,0.0,0.0,APA
1979-06-21,2.5388843237280225,2.5388843237280225,2.4862650216699267,2.5125746726989746,389293,0.0,0.0,APA
1979-06-22,2.5125734240716535,2.5125734240716535,2.4599536265239377,2.4994187355041504,70166,0.0,0.0,APA
1979-06-25,2.499419671539841,2.499419671539841,2.3415610022367086,2.3941802978515625,73805,0.0,0.0,APA
1979-06-26,2.3941793784360574,2.446798653843997,2.3810246899937844,2.407334327697754,77443,0.0,0.0,APA
1979-06-27,2.40733512515657,2.473109893253739,2.40733512515657,2.4336447715759277,124220,0.0,0.0,APA
1979-06-28,2.4336439654017235,2.4599536031056934,2.3810246899937844,2.407334327697754,63410,0.0,0.0,APA
1979-06-29,2.4073344944360775,2.473109245300293,2.4073344944360775,2.473109245300293,135655,0.0,0.0,APA
1979-07-02,2.47310840109265,2.4862630859556356,2.4204883575439453,2.4204883575439453,40541,0.0,0.0,APA
1979-07-03,2.4204891950597838,2.459953784942627,2.4204891950597838,2.459953784942627,45218,0.0,0.0,APA
1979-07-05,2.459953784942627,2.459953784942627,2.4204891950597838,2.459953784942627,18191,0.0,0.0,APA
1979-07-06,2.4599537734885666,2.4994188848265373,2.446798823315724,2.473109245300293,98753,0.0,0.0,APA
1979-07-09,2.5125725694287846,2.7756688594818115,2.5125725694287846,2.7756688594818115,223493,0.0,0.0,APA
1979-07-10,2.7756709532692234,2.788825908104794,2.644122709011186,2.6835873126983643,168919,0.0,0.0,APA
1979-07-11,2.6835859340311514,2.6835859340311514,2.6178117152832567,2.6309666633605957,173077,0.0,0.0,APA
1979-07-12,2.630966867355992,2.6572765047312212,2.6046572299807624,2.617811918258667,85759,0.0,0.0,APA
1979-07-13,2.5915046326104783,2.5915046326104783,2.4994209486431953,2.525730609893799,89917,0.0,0.0,APA
1979-07-16,2.5257297327284434,2.552039384841919,2.486265124148447,2.552039384841919,26507,0.0,0.0,APA
